0,patient1,patient2,patient3,patient4,patient5,patient6,patient7,patient8,patient9,patient10
MBD6,63.0,141.0,107.0,54.0,81.0,82.0,112.0,146.0,56.0,94.0
MBIP,415.0,377.0,415.0,196.0,289.0,266.0,390.0,298.0,661.0,493.0
MBL1P,1.0,19.0,6.0,3.0,16.0,6.0,3.0,13.0,1.0,6.0
MBL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBLAC1,28.0,30.0,15.0,9.0,11.0,20.0,16.0,22.0,13.0,20.0
MBLAC2,181.0,268.0,257.0,104.0,225.0,140.0,242.0,92.0,232.0,339.0
MBNL1,4568.0,7519.0,4753.0,4082.0,6899.0,6231.0,5228.0,4681.0,3713.0,7887.0
MBNL1-AS1,45.0,69.0,34.0,32.0,43.0,62.0,36.0,33.0,43.0,65.0
MBNL2,3190.0,4548.0,2993.0,2776.0,3202.0,3479.0,3721.0,2091.0,1994.0,4092.0
MBNL3,200.0,152.0,107.0,82.0,72.0,90.0,119.0,136.0,77.0,179.0
MBOAT1,117.0,182.0,160.0,76.0,126.0,151.0,84.0,133.0,138.0,146.0
MBOAT2,446.0,643.0,557.0,399.0,604.0,637.0,871.0,549.0,609.0,598.0
MBOAT4,0.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,4.0,2.0
MBOAT7,180.0,260.0,228.0,124.0,241.0,136.0,133.0,284.0,136.0,178.0
MBP,186.0,56.0,26.0,13.0,18.0,104.0,137.0,44.0,172.0,303.0
MBTD1,121.0,163.0,148.0,153.0,168.0,133.0,154.0,198.0,178.0,193.0
MBTPS1,926.0,1621.0,982.0,710.0,1220.0,1346.0,888.0,385.0,1330.0,1390.0
MBTPS2,272.0,269.0,322.0,173.0,363.0,304.0,278.0,154.0,294.0,442.0
MC1R,61.0,77.0,25.0,39.0,35.0,21.0,35.0,33.0,34.0,23.0
MC2R,1.0,18.0,9.0,22.0,3.0,8.0,44.0,24.0,5.0,8.0
MC3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MC4R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MC5R,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MCAM,2272.0,4097.0,7846.0,3326.0,7078.0,4978.0,3137.0,2373.0,2103.0,2685.0
MCAT,119.0,148.0,179.0,40.0,78.0,61.0,127.0,67.0,264.0,97.0
MCC,441.0,1004.0,494.0,383.0,428.0,601.0,500.0,325.0,307.0,670.0
MCCC1,331.0,405.0,256.0,195.0,350.0,322.0,321.0,129.0,546.0,336.0
MCCC2,509.0,623.0,553.0,307.0,641.0,561.0,472.0,311.0,507.0,695.0
MCCD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCEE,129.0,98.0,199.0,74.0,150.0,106.0,120.0,77.0,290.0,148.0
MCEMP1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
MCF2,4.0,6.0,5.0,2.0,4.0,5.0,1.0,2.0,5.0,1.0
MCF2L,1268.0,3127.0,745.0,1205.0,785.0,2684.0,1333.0,933.0,1365.0,1754.0
MCF2L-AS1,7.0,56.0,8.0,9.0,9.0,26.0,3.0,10.0,36.0,14.0
MCF2L2,4.0,8.0,9.0,20.0,16.0,13.0,10.0,17.0,5.0,6.0
MCFD2,1854.0,2929.0,2018.0,1640.0,1787.0,1998.0,1723.0,1254.0,1560.0,2467.0
MCHR1,5.0,3.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,5.0
MCHR2,0.0,8.0,3.0,9.0,0.0,2.0,0.0,6.0,5.0,3.0
MCHR2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCIDAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCL1,9200.0,18910.0,8261.0,7418.0,11059.0,10987.0,12202.0,6779.0,10056.0,14729.0
MCM10,15.0,70.0,12.0,23.0,17.0,14.0,20.0,19.0,9.0,16.0
MCM2,136.0,250.0,98.0,68.0,164.0,102.0,152.0,83.0,128.0,188.0
MCM3,1279.0,1616.0,1363.0,780.0,1386.0,1585.0,1147.0,390.0,1349.0,1406.0
MCM3AP,423.0,844.0,399.0,316.0,444.0,630.0,400.0,266.0,312.0,551.0
MCM3AP-AS1,9.0,58.0,23.0,16.0,20.0,30.0,30.0,7.0,9.0,51.0
MCM4,293.0,291.0,195.0,139.0,247.0,195.0,277.0,117.0,396.0,497.0
MCM5,204.0,512.0,343.0,159.0,277.0,332.0,263.0,137.0,378.0,353.0
MCM6,162.0,256.0,260.0,159.0,251.0,188.0,252.0,115.0,328.0,301.0
MCM7,782.0,685.0,381.0,200.0,408.0,577.0,512.0,207.0,654.0,566.0
MCM8,34.0,115.0,69.0,69.0,53.0,57.0,49.0,75.0,48.0,46.0
MCM8-AS1,9.0,27.0,13.0,24.0,2.0,16.0,22.0,20.0,1.0,11.0
MCM9,203.0,223.0,165.0,180.0,230.0,305.0,236.0,140.0,232.0,285.0
MCMBP,2232.0,2250.0,1828.0,1343.0,1683.0,2085.0,2337.0,702.0,1801.0,2423.0
MCMDC2,17.0,9.0,17.0,29.0,18.0,18.0,26.0,33.0,22.0,41.0
MCOLN1,136.0,342.0,159.0,82.0,249.0,205.0,154.0,169.0,276.0,183.0
MCOLN2,29.0,14.0,4.0,15.0,12.0,17.0,28.0,31.0,11.0,16.0
MCOLN3,5.0,23.0,6.0,32.0,12.0,23.0,55.0,28.0,29.0,56.0
MCPH1,595.0,708.0,491.0,382.0,421.0,490.0,411.0,382.0,483.0,513.0
MCPH1-AS1,19.0,39.0,33.0,54.0,19.0,24.0,29.0,47.0,14.0,26.0
MCRS1,256.0,587.0,525.0,186.0,419.0,393.0,323.0,144.0,560.0,318.0
MCTP1,5833.0,10701.0,5002.0,5686.0,6006.0,7982.0,7730.0,6096.0,6278.0,5957.0
MCTP2,141.0,291.0,32.0,58.0,20.0,196.0,110.0,76.0,71.0,159.0
MCTS1,464.0,677.0,1064.0,539.0,659.0,594.0,546.0,591.0,1099.0,675.0
MCTS2P,30.0,48.0,30.0,21.0,33.0,44.0,41.0,4.0,52.0,42.0
MCU,411.0,494.0,707.0,430.0,475.0,426.0,516.0,344.0,499.0,711.0
MCUR1,623.0,859.0,1040.0,674.0,814.0,711.0,772.0,606.0,1177.0,960.0
MDC1,219.0,510.0,179.0,136.0,166.0,231.0,212.0,126.0,101.0,220.0
MDFI,40.0,58.0,46.0,1.0,27.0,34.0,13.0,4.0,2.0,19.0
MDFIC,1517.0,2058.0,2012.0,1117.0,1738.0,1795.0,2068.0,651.0,1646.0,2123.0
MDGA1,66.0,1.0,94.0,0.0,0.0,3.0,15.0,3.0,4.0,18.0
MDGA2,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,0.0,3.0
MDH1,830.0,739.0,1035.0,548.0,619.0,612.0,782.0,421.0,1564.0,1113.0
MDH1B,12.0,47.0,9.0,21.0,12.0,19.0,33.0,11.0,30.0,17.0
MDH2,1347.0,1288.0,2354.0,805.0,1813.0,1276.0,1154.0,882.0,2535.0,1564.0
MDK,540.0,828.0,1679.0,455.0,996.0,654.0,549.0,409.0,624.0,513.0
MDM1,120.0,397.0,286.0,156.0,283.0,203.0,271.0,123.0,349.0,318.0
MDM2,441.0,1037.0,607.0,665.0,503.0,631.0,571.0,467.0,420.0,920.0
MDM4,754.0,1676.0,1027.0,1383.0,1018.0,1194.0,1219.0,1239.0,582.0,1021.0
MDN1,335.0,877.0,431.0,584.0,297.0,605.0,476.0,478.0,231.0,453.0
MDP1,113.0,197.0,264.0,139.0,160.0,187.0,87.0,82.0,333.0,144.0
MDS2,0.0,2.0,0.0,2.0,0.0,7.0,3.0,7.0,0.0,0.0
ME1,108.0,131.0,5.0,8.0,3.0,76.0,66.0,53.0,100.0,88.0
ME2,341.0,330.0,581.0,326.0,384.0,461.0,394.0,240.0,468.0,493.0
ME3,433.0,826.0,270.0,354.0,305.0,383.0,194.0,209.0,452.0,274.0
MEA1,486.0,663.0,1053.0,352.0,502.0,363.0,421.0,433.0,757.0,380.0
MEAF6,1091.0,1383.0,1747.0,897.0,1083.0,1040.0,1112.0,765.0,1602.0,1266.0
MEAT6,2.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
MECOM,1002.0,1869.0,1764.0,1217.0,1295.0,1224.0,1093.0,866.0,1008.0,1186.0
MECP2,275.0,954.0,383.0,360.0,259.0,545.0,354.0,362.0,241.0,396.0
MECR,154.0,326.0,381.0,215.0,286.0,231.0,202.0,162.0,314.0,222.0
MED1,679.0,972.0,834.0,495.0,786.0,707.0,785.0,465.0,553.0,839.0
MED10,605.0,859.0,948.0,459.0,672.0,568.0,613.0,492.0,1088.0,677.0
MED11,83.0,96.0,97.0,44.0,45.0,65.0,43.0,46.0,163.0,78.0
MED12,370.0,794.0,373.0,365.0,391.0,497.0,392.0,646.0,323.0,506.0
MED12L,9.0,0.0,1.0,0.0,1.0,0.0,2.0,20.0,9.0,7.0
MED13,658.0,1321.0,703.0,929.0,679.0,969.0,1093.0,866.0,322.0,847.0
MED13L,701.0,1584.0,894.0,1040.0,715.0,1133.0,943.0,1392.0,469.0,1131.0
MED14,363.0,730.0,308.0,355.0,399.0,445.0,411.0,321.0,186.0,482.0
MED14OS,63.0,29.0,70.0,34.0,65.0,49.0,70.0,36.0,79.0,38.0
MED15,870.0,1191.0,528.0,427.0,694.0,628.0,488.0,472.0,384.0,473.0
MED15P9,5.0,9.0,4.0,4.0,0.0,7.0,4.0,8.0,4.0,1.0
MED16,450.0,1137.0,507.0,366.0,413.0,667.0,342.0,177.0,623.0,523.0
MED17,944.0,846.0,777.0,641.0,618.0,914.0,1002.0,284.0,763.0,957.0
MED18,58.0,128.0,166.0,128.0,121.0,135.0,155.0,171.0,188.0,143.0
MED19,361.0,403.0,479.0,183.0,189.0,303.0,265.0,207.0,410.0,259.0
MED20,121.0,231.0,184.0,110.0,238.0,192.0,180.0,86.0,292.0,215.0
MED21,617.0,1047.0,1062.0,558.0,874.0,762.0,810.0,618.0,1296.0,1156.0
MED22,94.0,275.0,118.0,66.0,153.0,151.0,95.0,69.0,132.0,156.0
MED23,376.0,724.0,510.0,335.0,546.0,570.0,546.0,286.0,562.0,728.0
MED24,3680.0,7173.0,4105.0,2266.0,2809.0,6977.0,3850.0,636.0,1341.0,2911.0
MED25,49.0,187.0,117.0,56.0,124.0,185.0,101.0,90.0,183.0,166.0
MED26,112.0,115.0,67.0,38.0,92.0,81.0,82.0,204.0,75.0,95.0
MED27,362.0,419.0,599.0,221.0,376.0,344.0,317.0,127.0,525.0,305.0
MED28,559.0,488.0,1106.0,576.0,717.0,657.0,689.0,608.0,1093.0,804.0
MED29,947.0,1481.0,1101.0,608.0,898.0,876.0,914.0,547.0,763.0,973.0
MED30,631.0,607.0,903.0,434.0,566.0,476.0,554.0,534.0,961.0,675.0
MED31,193.0,244.0,301.0,106.0,137.0,168.0,217.0,207.0,440.0,283.0
MED4,1142.0,1592.0,2084.0,724.0,1216.0,1186.0,1328.0,646.0,2295.0,1575.0
MED4-AS1,3.0,13.0,6.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0
MED6,360.0,516.0,619.0,345.0,300.0,456.0,479.0,304.0,723.0,487.0
MED7,129.0,206.0,292.0,113.0,153.0,124.0,124.0,144.0,266.0,268.0
MED8,396.0,919.0,771.0,355.0,505.0,642.0,568.0,254.0,655.0,611.0
MED9,68.0,136.0,167.0,76.0,128.0,121.0,97.0,66.0,173.0,153.0
MEDAG,166.0,481.0,471.0,84.0,250.0,266.0,165.0,63.0,50.0,160.0
MEF2A,1455.0,3432.0,2091.0,2220.0,2861.0,2285.0,2445.0,1921.0,1498.0,2465.0
MEF2B,32.0,56.0,17.0,6.0,30.0,16.0,17.0,12.0,15.0,2.0
MEF2BNB,139.0,184.0,159.0,90.0,102.0,103.0,95.0,114.0,133.0,98.0
MEF2BNB-MEF2B,0.0,11.0,15.0,8.0,6.0,19.0,0.0,4.0,7.0,18.0
MEF2C,2661.0,3895.0,4294.0,2962.0,3685.0,2626.0,2909.0,2016.0,2252.0,3885.0
MEF2C-AS1,14.0,12.0,19.0,20.0,16.0,24.0,23.0,23.0,30.0,28.0
MEF2D,364.0,352.0,335.0,212.0,306.0,281.0,225.0,600.0,195.0,258.0
MEFV,48.0,142.0,12.0,46.0,30.0,54.0,37.0,73.0,63.0,39.0
MEG3,35.0,18.0,13.0,22.0,10.0,18.0,8.0,7.0,6.0,4.0
MEG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEG9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEGF10,0.0,0.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,6.0
MEGF11,55.0,5.0,15.0,8.0,10.0,21.0,38.0,9.0,14.0,12.0
MEGF6,856.0,1551.0,520.0,449.0,792.0,815.0,545.0,1231.0,405.0,838.0
MEGF8,32.0,115.0,87.0,71.0,66.0,74.0,58.0,64.0,65.0,101.0
MEGF9,178.0,172.0,140.0,144.0,153.0,174.0,224.0,236.0,154.0,351.0
MEI1,14.0,63.0,50.0,18.0,35.0,13.0,24.0,18.0,41.0,12.0
MEI4,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
MEIG1,0.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,4.0,0.0
MEIKIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEIOB,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0
MEIS1,10.0,13.0,6.0,23.0,8.0,10.0,16.0,32.0,18.0,38.0
MEIS1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MEIS1-AS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MEIS2,19.0,51.0,43.0,18.0,20.0,23.0,14.0,29.0,12.0,27.0
MEIS3,8.0,26.0,5.0,6.0,7.0,8.0,5.0,11.0,2.0,4.0
MEIS3P1,61.0,268.0,54.0,73.0,41.0,101.0,60.0,154.0,56.0,72.0
MELK,14.0,11.0,8.0,9.0,24.0,16.0,12.0,30.0,10.0,27.0
MEMO1,241.0,192.0,255.0,144.0,208.0,177.0,204.0,163.0,288.0,264.0
MEN1,136.0,311.0,224.0,115.0,249.0,214.0,152.0,55.0,189.0,202.0
MEOX1,2338.0,4253.0,3208.0,1623.0,4065.0,3308.0,3378.0,1454.0,3740.0,3588.0
MEOX2,1241.0,1707.0,3097.0,2451.0,3845.0,1443.0,2040.0,2977.0,2523.0,1736.0
MEOX2-AS1,32.0,46.0,233.0,93.0,40.0,38.0,142.0,67.0,89.0,67.0
MEP1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEP1B,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
MEPCE,288.0,245.0,224.0,202.0,227.0,283.0,271.0,341.0,231.0,255.0
MEPE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MERTK,276.0,235.0,190.0,237.0,216.0,219.0,300.0,889.0,236.0,286.0
MESDC1,236.0,1095.0,615.0,364.0,510.0,750.0,274.0,171.0,351.0,447.0
MESDC2,863.0,694.0,1676.0,657.0,881.0,1004.0,724.0,514.0,937.0,840.0
MESP1,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
MESP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEST,127.0,21.0,39.0,25.0,26.0,56.0,47.0,8.0,93.0,33.0
MESTIT1,4.0,11.0,2.0,7.0,5.0,10.0,5.0,13.0,0.0,6.0
MET,1727.0,2981.0,2639.0,1892.0,1880.0,2055.0,1394.0,2012.0,1279.0,2606.0
METAP1,504.0,476.0,538.0,276.0,393.0,440.0,477.0,262.0,619.0,620.0
METAP1D,65.0,84.0,45.0,31.0,37.0,62.0,57.0,32.0,65.0,62.0
METAP2,1128.0,954.0,1055.0,617.0,659.0,849.0,904.0,692.0,1028.0,986.0
METRN,95.0,139.0,125.0,68.0,60.0,105.0,51.0,30.0,153.0,43.0
METRNL,182.0,120.0,161.0,90.0,181.0,156.0,62.0,218.0,124.0,131.0
METTL1,275.0,278.0,192.0,88.0,117.0,166.0,143.0,49.0,231.0,134.0
METTL10,430.0,460.0,469.0,256.0,349.0,334.0,417.0,255.0,584.0,452.0
METTL11B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METTL12,40.0,25.0,15.0,14.0,8.0,27.0,14.0,39.0,24.0,14.0
METTL13,142.0,210.0,288.0,158.0,288.0,250.0,210.0,111.0,344.0,259.0
METTL14,358.0,671.0,743.0,507.0,523.0,556.0,601.0,358.0,639.0,658.0
METTL15,216.0,270.0,333.0,203.0,259.0,293.0,333.0,148.0,252.0,387.0
METTL16,275.0,881.0,420.0,309.0,410.0,512.0,428.0,230.0,374.0,532.0
METTL17,462.0,896.0,592.0,285.0,553.0,466.0,378.0,364.0,769.0,523.0
METTL18,370.0,386.0,575.0,224.0,309.0,349.0,449.0,187.0,480.0,473.0
METTL20,40.0,104.0,118.0,55.0,85.0,61.0,80.0,74.0,104.0,107.0
METTL21A,971.0,1737.0,1123.0,1171.0,1055.0,1209.0,1123.0,1718.0,739.0,981.0
METTL21B,283.0,188.0,401.0,232.0,506.0,300.0,272.0,179.0,445.0,321.0
METTL21C,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
METTL21EP,5.0,6.0,2.0,13.0,7.0,5.0,1.0,10.0,0.0,2.0
METTL22,90.0,176.0,122.0,93.0,107.0,105.0,108.0,93.0,129.0,91.0
METTL23,322.0,625.0,881.0,404.0,531.0,466.0,457.0,570.0,1084.0,607.0
METTL24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
METTL25,128.0,187.0,300.0,98.0,118.0,98.0,135.0,80.0,199.0,173.0
METTL2A,310.0,441.0,379.0,221.0,309.0,334.0,324.0,205.0,339.0,309.0
METTL2B,204.0,584.0,535.0,271.0,316.0,410.0,389.0,216.0,357.0,428.0
METTL3,455.0,551.0,450.0,284.0,390.0,622.0,369.0,462.0,819.0,508.0
METTL4,185.0,305.0,184.0,110.0,142.0,214.0,211.0,138.0,261.0,264.0
METTL5,544.0,652.0,1296.0,475.0,803.0,669.0,735.0,456.0,1560.0,936.0
METTL6,46.0,155.0,229.0,128.0,162.0,74.0,148.0,140.0,186.0,126.0
METTL7A,614.0,785.0,1159.0,772.0,1264.0,1044.0,960.0,1102.0,1315.0,1553.0
METTL7B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METTL8,234.0,367.0,287.0,285.0,320.0,288.0,327.0,244.0,266.0,355.0
METTL9,1317.0,1732.0,2006.0,884.0,1881.0,1449.0,692.0,1064.0,2660.0,1984.0
MEX3A,31.0,46.0,14.0,5.0,11.0,28.0,29.0,39.0,18.0,16.0
MEX3B,29.0,65.0,30.0,35.0,66.0,22.0,34.0,49.0,44.0,39.0
MEX3C,2014.0,2586.0,1362.0,783.0,906.0,1885.0,1717.0,686.0,1248.0,1690.0
MEX3D,34.0,9.0,10.0,13.0,11.0,5.0,12.0,16.0,10.0,4.0
MFAP1,847.0,1023.0,1022.0,483.0,669.0,746.0,788.0,523.0,817.0,809.0
MFAP2,24.0,0.0,9.0,4.0,4.0,6.0,6.0,0.0,8.0,5.0
MFAP3,1701.0,2400.0,1349.0,1256.0,1800.0,1579.0,1514.0,800.0,1309.0,3140.0
MFAP3L,126.0,46.0,38.0,26.0,48.0,68.0,97.0,30.0,63.0,132.0
MFAP4,7.0,41.0,3.0,2.0,1.0,7.0,8.0,0.0,9.0,8.0
MFAP5,3.0,3.0,4.0,12.0,3.0,7.0,7.0,18.0,0.0,4.0
MFF,759.0,1039.0,1085.0,529.0,827.0,813.0,761.0,470.0,1330.0,879.0
MFGE8,226.0,146.0,287.0,131.0,245.0,154.0,102.0,108.0,154.0,162.0
MFHAS1,132.0,234.0,69.0,48.0,92.0,100.0,45.0,65.0,42.0,89.0
MFI2,4.0,8.0,2.0,7.0,3.0,9.0,10.0,40.0,5.0,8.0
MFI2-AS1,5.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0
MFN1,300.0,847.0,627.0,465.0,426.0,598.0,541.0,326.0,498.0,635.0
MFN2,1218.0,866.0,866.0,711.0,1210.0,991.0,1014.0,561.0,818.0,1301.0
MFNG,963.0,2356.0,2800.0,931.0,1595.0,1849.0,1045.0,189.0,2416.0,1221.0
MFRP,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
MFSD1,1175.0,1283.0,1591.0,775.0,1245.0,1120.0,982.0,987.0,1575.0,1629.0
MFSD10,338.0,707.0,679.0,246.0,509.0,544.0,321.0,503.0,709.0,392.0
MFSD11,535.0,507.0,624.0,426.0,702.0,520.0,485.0,429.0,695.0,502.0
MFSD12,176.0,263.0,282.0,94.0,216.0,236.0,308.0,109.0,256.0,230.0
MFSD2A,687.0,70.0,45.0,1.0,5.0,213.0,555.0,158.0,627.0,814.0
MFSD2B,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0
MFSD3,52.0,66.0,60.0,20.0,29.0,61.0,25.0,24.0,80.0,35.0
MFSD4,1063.0,1598.0,991.0,554.0,1068.0,1110.0,1225.0,726.0,921.0,929.0
MFSD5,321.0,264.0,481.0,185.0,326.0,297.0,268.0,228.0,445.0,325.0
MFSD6,952.0,2005.0,1040.0,848.0,1281.0,1763.0,1374.0,500.0,1589.0,1949.0
MFSD6L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MFSD7,225.0,383.0,249.0,213.0,201.0,265.0,157.0,290.0,235.0,167.0
MFSD8,238.0,350.0,320.0,195.0,232.0,253.0,279.0,200.0,392.0,358.0
MFSD9,58.0,37.0,80.0,32.0,97.0,47.0,61.0,27.0,85.0,65.0
MGA,281.0,746.0,364.0,259.0,444.0,497.0,556.0,237.0,364.0,738.0
MGAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
MGAM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGARP,0.0,0.0,6.0,1.0,2.0,5.0,1.0,2.0,8.0,5.0
MGAT1,1189.0,2067.0,2928.0,1578.0,2963.0,2455.0,1672.0,1070.0,2512.0,1829.0
MGAT2,674.0,811.0,863.0,493.0,835.0,858.0,1026.0,220.0,999.0,926.0
MGAT3,35.0,19.0,37.0,34.0,4.0,9.0,26.0,58.0,9.0,5.0
MGAT3-AS1,3.0,1.0,2.0,6.0,2.0,0.0,4.0,10.0,0.0,0.0
MGAT4A,1154.0,2285.0,1934.0,1170.0,1965.0,1557.0,1722.0,650.0,1689.0,2231.0
MGAT4B,193.0,310.0,220.0,158.0,206.0,304.0,161.0,144.0,295.0,182.0
MGAT4C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0
MGAT4D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGAT4EP,21.0,45.0,22.0,60.0,22.0,32.0,34.0,45.0,2.0,14.0
MGAT5,159.0,224.0,152.0,200.0,113.0,240.0,203.0,112.0,92.0,177.0
MGAT5B,85.0,98.0,23.0,25.0,29.0,31.0,39.0,102.0,42.0,43.0
MGC12916,17.0,23.0,1.0,0.0,3.0,6.0,3.0,50.0,10.0,7.0
MGC15885,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MGC16025,0.0,1.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0
MGC16142,13.0,30.0,8.0,21.0,15.0,17.0,13.0,22.0,6.0,22.0
MGC16275,26.0,11.0,14.0,16.0,19.0,16.0,25.0,17.0,15.0,14.0
MGC27345,182.0,269.0,174.0,256.0,165.0,242.0,260.0,249.0,117.0,216.0
MGC27382,0.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0
MGC2889,5.0,5.0,1.0,3.0,3.0,1.0,5.0,8.0,3.0,2.0
MGC32805,5.0,3.0,5.0,12.0,3.0,4.0,0.0,0.0,2.0,5.0
MGC34796,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
MGC39584,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
MGC45922,0.0,0.0,3.0,2.0,0.0,2.0,0.0,5.0,4.0,0.0
MGC50722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGC57346,120.0,207.0,137.0,113.0,156.0,128.0,132.0,80.0,171.0,131.0
MGC57346-CRHR1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGC70870,2.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0
MGC72080,17.0,15.0,16.0,13.0,10.0,10.0,11.0,23.0,23.0,17.0
MGEA5,1445.0,3061.0,2128.0,1779.0,1782.0,1950.0,1815.0,2584.0,1638.0,2223.0
MGLL,3912.0,6439.0,5458.0,3563.0,4381.0,6383.0,3912.0,1288.0,6278.0,4545.0
MGME1,303.0,171.0,338.0,203.0,501.0,285.0,288.0,257.0,566.0,424.0
MGMT,336.0,879.0,1064.0,508.0,468.0,571.0,392.0,773.0,986.0,447.0
MGP,1324.0,937.0,9351.0,1902.0,7308.0,641.0,867.0,3036.0,5925.0,4814.0
MGRN1,83.0,248.0,120.0,104.0,96.0,95.0,95.0,97.0,40.0,83.0
MGST1,70.0,127.0,57.0,39.0,1.0,129.0,90.0,130.0,224.0,203.0
MGST2,1532.0,1675.0,3794.0,1341.0,1839.0,1698.0,1774.0,1713.0,4274.0,2168.0
MGST3,1478.0,1791.0,4206.0,1407.0,2060.0,1610.0,1695.0,1887.0,3690.0,1991.0
MHRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIA,2.0,0.0,6.0,2.0,4.0,4.0,2.0,5.0,2.0,0.0
MIA-RAB4B,49.0,51.0,19.0,4.0,21.0,19.0,15.0,17.0,26.0,32.0
MIA2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MIA3,768.0,2391.0,1500.0,912.0,1407.0,1184.0,1228.0,853.0,1088.0,1483.0
MIAT,87.0,396.0,61.0,82.0,26.0,98.0,92.0,71.0,103.0,83.0
MIATNB,35.0,35.0,32.0,25.0,34.0,23.0,28.0,33.0,20.0,16.0
MIB1,235.0,448.0,520.0,450.0,414.0,473.0,495.0,308.0,218.0,611.0
MIB2,298.0,369.0,183.0,92.0,194.0,303.0,161.0,199.0,248.0,230.0
MICA,709.0,662.0,564.0,293.0,543.0,425.0,356.0,571.0,609.0,503.0
MICAL1,145.0,123.0,103.0,28.0,51.0,70.0,40.0,52.0,64.0,71.0
MICAL2,44.0,127.0,85.0,70.0,70.0,83.0,38.0,37.0,27.0,74.0
MICAL3,184.0,542.0,250.0,280.0,256.0,453.0,309.0,451.0,171.0,255.0
MICALCL,8.0,9.0,5.0,3.0,3.0,3.0,10.0,11.0,3.0,15.0
MICALL1,124.0,133.0,68.0,40.0,72.0,113.0,80.0,46.0,80.0,103.0
MICALL2,75.0,191.0,59.0,34.0,69.0,61.0,35.0,60.0,47.0,72.0
MICB,138.0,194.0,138.0,105.0,179.0,127.0,153.0,141.0,155.0,184.0
MICU1,539.0,532.0,658.0,436.0,500.0,432.0,422.0,463.0,621.0,536.0
